,name,name_link,critics_consensus,score_critical,score_audience,count_critical,count_audience,abstract,Rating,Genre,Directed_By,Written_By,In_Theaters,On_Disc_Streaming,Box_Office,Runtime,Studio
0,Superman and the Mole-Men,superman-and-the-molemen,No consensus yet.,23%,23%,N/A,571,"Reporters Clark Kent and Lois Lane arrive in the small town of Silsby to witness the drilling of the world's deepest oil well. The drill, however, has penetrated the underground home of a race of small, furry people who then come to the surface at night to look around. The fact that they glow in the dark scares the townfolk, who form a mob, led by the vicious Luke Benson, intent on killing the strange people. Only Superman has a chance to prevent this tragedy.",NR,"[Action & Adventure, Kids & Family, Science Fiction & Fantasy]",[Lee Sholem],nan,"Nov 23, 1951","May 1, 2001",nan,58 minutes,nan
1,Batman: The Movie,batman_the_movie,"Batman: The Movie elevates camp to an art form -- and has a blast doing it, every gloriously tongue-in-cheek inch of the way.",77%,62%,31,"138,834","Tongue-in-cheek humor prevails in Batman, a witty homage to the Dynamic Duo's exaggerated exploits. The Caped Crusaders (Adam West and Burt Ward) are called in as a last resort when the criminal masterminds of the millennium team up to conquer Gotham City by turning the U.N. Security Council into dehydrated dust; among the villains are the Joker (Cesar Romero), Catwoman (Lee Meriwether), the Riddler (Frank Gorshin), and the Penguin (Burgess Meredith). The entire cast is excellent, particularly West and Ward, who distinguish themselves among a standout list with hilariously straight-faced performances. The film includes some truly memorable scenes, highlighted by a particularly tenacious shark with a vertical leap that would put Spud Webb to shame and a bomb on the waterfront with no place to explode (nuns, infants and lovebirds beware!). ~ Jeremy Beday, Rovi",PG,"[Action & Adventure, Drama, Science Fiction & Fantasy]",[Leslie H. Martinson],[Lorenzo Semple Jr.],"Jul 30, 1966","Apr 23, 2002",nan,104 minutes,[20th Century Fox]
2,Wonder Woman(2009),wonder-woman,No consensus yet.,82%,78%,11,"8,535","A graceful Amazon princess of untold strength and beauty attempts to prevent the god of war from instigating a conflict that will last for centuries and destroy the human race as the animated adventure marking the return of DC Comics heroine Wonder Woman. On the mystical island of Themyscira lives a fierce race of warrior Amazons who have raised a powerful daughter named Princess Diana. The Amazons live in secrecy from the outside world, but when Army fighter pilot Steve Travor crash-lands in their tropical paradise, the headstrong princess defies the law of the land by accompanying Trevor back to civilization. But her transition into the modern world won't be an easy one, because when Ares escapes from his Amazonian prison and begins plotting his revenge, Princess Diana is the only person who stands between the god of war, and the destruction of the human race - beginning with the Amazons. Now, as Princess Diana harnesses her unique powers to boldly fight back against Ares and save the planet from certain destruction, Wonder Woman is born and the battle for civilization begins.",PG-13 (for violence throughout and some suggestive material),"[Action & Adventure, Animation, Drama, Kids & Family]",[Lauren Montgomery],[Michael Jelenic],"Mar 3, 2009","Mar 3, 2009",nan,93 minutes,[Warner Bros. Animation]
3,Superman,superman_the_movie,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",94%,86%,66,"285,768","Christopher Reeve as the Man of Steel in a big-budget epic with Oscar-winning effects. Marlon Brando, Margot Kidder, Gene Hackman, Ned Beatty, Valerie Perrine, Jackie Cooper, Susannah York, Glenn Ford. Richard Donner directed.","PG (for peril, some mild sensuality and language)","[Action & Adventure, Drama]",[Richard Donner],"[Mario Puzo, Leslie Newman, Robert Benton]","Dec 15, 1978","May 1, 2001",nan,142 minutes,[Warner Bros. Pictures]
4,Superman II,superman_ii,"The humor occasionally stumbles into slapstick territory, and the special effects are dated, but Superman II meets, if not exceeds, the standard set by its predecessor.",85%,75%,48,"239,798","Between giving up his super powers, confronting criminals from outer space, and having problems with his girlfriend, it's a bad time to be the Man of Steel in this sequel to the 1978 blockbuster. When terrorists threaten to destroy Paris with a thermonuclear device as they hold reporter Lois Lane (Margot Kidder) hostage, Superman (Christopher Reeve) comes to the rescue and flings the weapon into space. However, its blast outside the earth's orbit awakens Zod (Terence Stamp), Ursa (Sarah Douglas), and Non (Jack O'Halloran), three villains from Superman's home planet of Krypton who were exiled to outer space for their crimes. Zod and his partners arrive on Earth and use their powers in a bid to take over the U.S., and then the world. However, when Lois realizes that mild mannered Clark Kent and Superman are actually the same person, he brings her to his Fortress of Solitude, where his decision to marry Lois costs him his remarkable strength. Without his super powers, how can Superman vanquish Zod and save the world? Gene Hackman, Ned Beatty, Susannah York, and Jackie Cooper return from the first film, which was shot at the same time as parts of the sequel.","PG (for sequences of action violence, come language and brief mild sensuality)","[Action & Adventure, Science Fiction & Fantasy]","[Richard Lester, Richard Donner]","[Mario Puzo, David Newman, Leslie Newman]","Jun 19, 1981","May 1, 2001",nan,127 minutes,[Warner Bros. Pictures]
5,Swamp Thing,swamp_thing,"Unabashedly campy -- often to its detriment -- Swamp Thing is not without its charms, among them Adrienne Barbeau as the damsel in distress.",67%,34%,36,"21,923","Historia de suspenso escrita y dirigida por Wes Craven sobre el resultado monstruoso de un experimento fracasado. Louis Jourdan, Adrienne Barbeau, Ray Wise, Reggie Batts.","PG (adult situations/language, nudity, violence)","[Comedy, Cult Movies, Horror, Science Fiction & Fantasy]",[Wes Craven],nan,"Jan 1, 1982","Aug 14, 2001",nan,90 minutes,[Nelson Entertainment]
6,Superman III,superman_iii,"When not overusing sight gags, slapstick, and Richard Pryor, Superman III resorts to plot points rehashed from the previous Superman flicks.",24%,23%,46,"167,114","The Man of Steel (Christopher Reeve) takes on a megalomaniacal businessman (Robert Vaughn) who is using a dopey hacker (Richard Pryor) to help him take on the world in this third entry in the big-budget, special effects-laden series. This one places more emphasis on humor than adventure.",PG,"[Action & Adventure, Kids & Family, Science Fiction & Fantasy]",[Richard Lester],"[David Newman, Leslie Newman]","Jun 17, 1983","May 1, 2001",nan,125 minutes,[WARNER BROTHERS PICTURES]
7,Supergirl,supergirl,"The effects are cheesy and Supergirl's wide-eyed, cheery heroine simply isn't interesting to watch for an hour and a half.",10%,26%,31,"49,201","A big-budget spin-off from the series of three successful Superman movies, this film stars Helen Slater as the counterpart to the famous comic-book superhero. Supergirl is Kara, Superman's young cousin. She is sent to Earth is search of a Krypton power source, a lost ring that has been turned into a paperweight. She disguises herself as Linda Lee, a meek high-school student. Peter O'Toole is Zaltar, a mad villain who wants to use the power of the ring to take over the world. Faye Dunaway plays the evil sorceress Selena, who is also plotting to get the gem and uses her incredible powers of black magic in service of her scheme. Linda Lee meets Ethan (Hart Bochner), who is under a spell cast by Selena, which causes him to fall in love with the first person he sees. Selena had intended to use the spell to make Ethan fall in love with her, and she is furious when his affections are directed toward Supergirl.",PG,"[Action & Adventure, Science Fiction & Fantasy]",[Jeannot Szwarc],[David Odell],"Nov 21, 1984","Aug 8, 2000",nan,89 minutes,[TriStar Pictures]
8,Superman IV: The Quest for Peace,superman_iv_the_quest_for_peace,"The Superman series bottoms out here: the action is boring, the special effects look cheaper, and none of the actors appear interested in where the plot's going.",11%,15%,44,"65,958","Superman (Christopher Reeve) tries to save the world from nuclear destruction at the hands of Lex Luthor (Gene Hackman) in this action film featuring the man of steel. In a speech to the United Nations, Superman declares he will rid the world of all nuclear weapons. Arch-villain Luthor emerges from prison obsessed with killing Superman and creates an adversary known as Nuclear Man (Mark Pillow). The two engage in a fight to the finish in various landmarks on Earth before taking their battle into outer space. When Lois Lane (Margot Kidder) invites both Superman and Clark Kent to a double-date dinner, Superman's powers are tested so that both men can be present. Jackie Cooper plays the gruff veteran newspaper editor Perry White, with Marc McClure as Jimmy Olsen. Sam Wanamaker plays tabloid tycoon David Warfield, the millionaire who buys the Daily Planet. Mariel Hemmingway is Warfield's daughter Lacy, Clark Kent's date at Lois' luxury apartment. This is the least interesting of the four Superman movies starring Christopher Reeve. ~ Dan Pavlides, Rovi",PG,"[Action & Adventure, Science Fiction & Fantasy]",[Sidney J. Furie],"[Lawrence Konner, Mark Rosenthal]","Jul 24, 1987","May 1, 2001",nan,91 minutes,[Warner Home Video]
9,The Return of Swamp Thing,return_of_swamp_thing,No consensus yet.,44%,28%,9,"3,694","A beautiful horticulturist visits her stepfather to discover the mystery behind her mother's untimely death. Her stepfather wants to kill her to create his immortality serum, but the Swamp Thing comes to her rescue. The two become an unlikely couple, hunted by the insane Dr. Arcane.","PG-13 (adult situations/language, violence)","[Action & Adventure, Comedy, Horror, Science Fiction & Fantasy]",[Jim Wynorski],"[Grant Morris, Derek Spencer, Neil Cuthbert]","May 12, 1989","Feb 18, 2003",nan,90 minutes,[Sony Pictures Home Entertainment]
