,name,name_link
0,Superman and the Mole-Men,superman-and-the-molemen
1,Batman: The Movie,batman_the_movie
2,Wonder Woman(2009),wonder-woman
3,Superman,superman_the_movie
4,Superman II,superman_ii
5,Swamp Thing,swamp_thing
6,Superman III,superman_iii
7,Supergirl,supergirl
8,Superman IV: The Quest for Peace,superman_iv_the_quest_for_peace
9,The Return of Swamp Thing,return_of_swamp_thing
10,Batman,1001781_batman
11,Batman Returns,batman_returns
12,Batman: Mask of the Phantasm,batman_mask_of_the_phantasm
13,Tank Girl,tank_girl
14,Batman Forever,batman_forever
15,Justice League of America,justice_league_of_america_1997
16,Batman & Robin,1077027_batman_and_robin
17,Steel,1078035_steel
18,Gen 13,gen-13
19,Road to Perdition,road_to_perdition
20,The League of Extraordinary Gentlemen,league_of_extraordinary_gentlemen
21,American Splendor,american_splendor
22,Catwoman,catwoman
23,Constantine,constantine
24,V for Vendetta,v_for_vendetta
25,Batman Begins,batman_begins
26,A History of Violence,history_of_violence
27,Superman Returns,superman_returns
28,Stardust,stardust
29,The Dark Knight,the_dark_knight
30,The Spirit,the_spirit
31,Watchmen,watchmen
32,The Losers,1226860_losers
33,Jonah Hex,jonah_hex
34,RED,red
35,Green Lantern,green_lantern
36,The Dark Knight Rises,the_dark_knight_rises
37,Man of Steel,superman_man_of_steel
38,RED 2,red_2
39,Batman v Superman: Dawn of Justice,batman_v_superman_dawn_of_justice
40,Suicide Squad,suicide_squad_2016
41,The Lego Batman Movie,the_lego_batman_movie
42,Wonder Woman,wonder_woman_2017
43,Justice League,justice_league_2017
44,Aquaman,aquaman_2018
45,Shazam!,shazam
