name,name_link
Captain America: The First Avenger,captain_america_the_first_avenger
Iron Man,iron_man
The Incredible Hulk,the_incredible_hulk
Iron Man 2,iron_man_2
Thor,thor
The Avengers,marvels_the_avengers
Iron Man Three,iron_man_3
Thor: The Dark World,thor_the_dark_world
Captain America: The Winter Soldier,captain_america_the_winter_soldier_2014
Guardians of the Galaxy,guardians_of_the_galaxy
Guardians of the Galaxy Vol. 2,guardians_of_the_galaxy_vol_2
Avengers: Age of Ultron,avengers_age_of_ultron
Ant-Man,antman
Captain America: Civil War,captain_america_civil_war
Spider-Man: Homecoming,spider_man_homecoming
Doctor Strange,doctor_strange_2016
Thor: Ragnarok,thor_ragnarok_2017
Black Panther,black_panther_2018
Avengers: Infinity War,avengers_infinity_war
Ant-Man and the Wasp,ant_man_and_the_wasp
Captain Marvel,captain_marvel
